parameter,unit,value,frequency,date,longitude,latitude,height,validation,note
NO2,,-1.0,,2022-03-25T03:00:00.0,,,,,
O3,,-1.0,,2022-03-25T03:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T03:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T03:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T03:00:00.0,,,,,
CO,,-1.0,,2022-03-25T04:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T04:00:00.0,,,,,
O3,,-1.0,,2022-03-25T04:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T04:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T04:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T04:00:00.0,,,,,
CO,,-1.0,,2022-03-25T04:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T04:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T04:00:00.0,,,,,
O3,,-1.0,,2022-03-25T04:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T04:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T04:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T04:00:00.0,,,,,
CO,,-1.0,,2022-03-25T05:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T05:00:00.0,,,,,
O3,,-1.0,,2022-03-25T05:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T05:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T05:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T05:00:00.0,,,,,
CO,,-1.0,,2022-03-25T05:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T05:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T05:00:00.0,,,,,
O3,,-1.0,,2022-03-25T05:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T05:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T05:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T05:00:00.0,,,,,
CO,,-1.0,,2022-03-25T06:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T06:00:00.0,,,,,
O3,,-1.0,,2022-03-25T06:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T06:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T06:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T06:00:00.0,,,,,
CO,,-1.0,,2022-03-25T06:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T06:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T06:00:00.0,,,,,
O3,,-1.0,,2022-03-25T06:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T06:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T06:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T06:00:00.0,,,,,
CO,,-1.0,,2022-03-25T07:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T07:00:00.0,,,,,
O3,,-1.0,,2022-03-25T07:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T07:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T07:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T07:00:00.0,,,,,
CO,,-1.0,,2022-03-25T07:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T07:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T07:00:00.0,,,,,
O3,,-1.0,,2022-03-25T07:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T07:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T07:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T07:00:00.0,,,,,
CO,,-1.0,,2022-03-25T08:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T08:00:00.0,,,,,
O3,,-1.0,,2022-03-25T08:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T08:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T08:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T08:00:00.0,,,,,
CO,,-1.0,,2022-03-25T08:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T08:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T08:00:00.0,,,,,
O3,,-1.0,,2022-03-25T08:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T08:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T08:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T08:00:00.0,,,,,
CO,,-1.0,,2022-03-25T09:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T09:00:00.0,,,,,
O3,,-1.0,,2022-03-25T09:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T09:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T09:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T09:00:00.0,,,,,
CO,,-1.0,,2022-03-25T09:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T09:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T09:00:00.0,,,,,
O3,,-1.0,,2022-03-25T09:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T09:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T09:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T09:00:00.0,,,,,
